ID,std copt,stb copt,std cplex,stb cplex,std gurobi,stb gurobi,std highs,stb highs,std xpress,stb xpress
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18},\textbf{18}
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21}
15,\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22}
16,24,24,\textbf{23},\textbf{23},24,24,24,24,\textbf{23},\textbf{23}
17,\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24},\textbf{24}
18,\textbf{25},\textbf{25},\textbf{25},\textbf{25},\textbf{25},\textbf{25},26,26,\textbf{25},\textbf{25}
19,\textbf{26},\textbf{26},27,27,\textbf{26},\textbf{26},28,28,27,N|A
20,\textbf{27},\textbf{27},28,28,\textbf{27},\textbf{27},28,28,\textbf{27},28
21,29,29,29,29,29,29,29,29,29,29
22,30,30,30,30,30,30,31,31,30,30
23,\textbf{30},\textbf{30},31,31,\textbf{30},\textbf{30},\textbf{30},\textbf{30},\textbf{30},\textbf{30}
24,\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31}
25,34,34,33,33,33,33,34,34,33,33
26,34,34,34,34,\textbf{33},\textbf{33},34,34,34,34
27,\textbf{34},\textbf{34},\textbf{34},\textbf{34},\textbf{34},\textbf{34},35,35,\textbf{34},\textbf{34}
28,36,36,36,36,\textbf{35},\textbf{35},36,36,\textbf{35},\textbf{35}
29,37,37,37,\textbf{36},\textbf{36},\textbf{36},\textbf{36},\textbf{36},\textbf{36},\textbf{36}
30,39,39,38,38,38,38,40,40,39,39
31,\textbf{38},\textbf{38},39,39,\textbf{38},\textbf{38},\textbf{38},\textbf{38},\textbf{38},\textbf{38}
32,42,42,41,41,40,40,42,42,41,41
33,\textbf{40},\textbf{40},41,42,\textbf{40},\textbf{40},41,41,41,41
34,41,41,41,41,\textbf{40},\textbf{40},42,42,41,41
35,41,41,41,41,41,41,41,41,41,41
36,41,41,41,41,\textbf{40},\textbf{40},41,41,41,41
37,63,63,62,62,61,61,63,64,63,63
38,64,64,62,62,62,62,63,63,63,63
39,62,62,62,62,61,61,64,64,62,62
40,138,138,108,108,100,99,N|A,N|A,179,180
