,instance,height,time,solution type
ins-1,1,8.0,0.518871545791626,optimal
ins-2,2,9.0,0.5224740505218506,optimal
ins-3,3,10.0,2.616897821426392,optimal
ins-4,4,11.0,53.48655104637146,optimal
ins-5,5,,300.0,N|A
ins-6,6,,300.0,N|A
ins-7,7,,300.0,N|A
ins-8,8,,300.0,N|A
ins-9,9,,300.0,N|A
ins-10,10,,300.0,N|A
ins-11,11,,300.0,N|A
ins-12,12,,300.0,N|A
ins-13,13,,300.0,N|A
ins-14,14,,300.0,N|A
ins-15,15,,300.0,N|A
ins-16,16,,300.0,N|A
ins-17,17,,300.0,N|A
ins-18,18,,300.0,N|A
ins-19,19,,300.0,N|A
ins-20,20,,300.0,N|A
ins-21,21,,300.0,N|A
ins-22,22,,300.0,N|A
ins-23,23,,300.0,N|A
ins-24,24,,300.0,N|A
ins-25,25,,300.0,N|A
ins-26,26,,300.0,N|A
ins-27,27,,300.0,N|A
ins-28,28,,300.0,N|A
ins-29,29,,300.0,N|A
ins-30,30,,300.0,N|A
ins-31,31,,300.0,N|A
ins-32,32,,300.0,N|A
ins-33,33,,300.0,N|A
ins-34,34,,300.0,N|A
ins-35,35,,300.0,N|A
ins-36,36,,300.0,N|A
ins-37,37,,300.0,N|A
ins-38,38,,300.0,N|A
ins-39,39,,300.0,N|A
ins-40,40,,300.0,N|A
