ID,CP,SAT,SMT,MIP
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},N|A,\textbf{18},\textbf{18}
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21}
15,\textbf{22},\textbf{22},\textbf{22},\textbf{22}
16,\textbf{23},N|A,N|A,\textbf{23}
17,\textbf{24},N|A,\textbf{24},\textbf{24}
18,\textbf{25},N|A,\textbf{25},\textbf{25}
19,\textbf{26},N|A,N|A,27
20,\textbf{27},N|A,N|A,28
21,\textbf{28},N|A,N|A,29
22,\textbf{29},N|A,N|A,\textbf{29}
23,\textbf{30},N|A,N|A,31
24,\textbf{31},N|A,\textbf{31},\textbf{31}
25,\textbf{32},N|A,N|A,33
26,\textbf{33},N|A,N|A,34
27,\textbf{34},N|A,N|A,\textbf{34}
28,\textbf{35},N|A,N|A,36
29,\textbf{36},N|A,N|A,\textbf{36}
30,38,N|A,N|A,38
31,\textbf{38},N|A,\textbf{38},\textbf{38}
32,40,N|A,N|A,40
33,\textbf{40},N|A,\textbf{40},\textbf{40}
34,\textbf{40},N|A,\textbf{40},\textbf{40}
35,\textbf{40},N|A,\textbf{40},\textbf{40}
36,\textbf{40},N|A,\textbf{40},\textbf{40}
37,61,N|A,N|A,61
38,\textbf{60},N|A,N|A,61
39,\textbf{60},N|A,N|A,61
40,92,N|A,N|A,103
