,instance,height,time,solution type
ins-1,1,8.0,0.3909999999996216,optimal
ins-2,2,9.0,0.1089999999967403,optimal
ins-3,3,10.0,0.125,optimal
ins-4,4,11.0,0.1880000000019208,optimal
ins-5,5,12.0,0.4839999999967403,optimal
ins-6,6,13.0,0.5470000000022992,optimal
ins-7,7,14.0,0.7659999999996217,optimal
ins-8,8,15.0,0.5779999999977008,optimal
ins-9,9,16.0,0.7970000000022992,optimal
ins-10,10,17.0,1.25,optimal
ins-11,11,18.0,14.78099999999904,optimal
ins-12,12,19.0,11.562000000001715,optimal
ins-13,13,20.0,13.10899999999674,optimal
ins-14,14,21.0,57.5779999999977,optimal
ins-15,15,22.0,46.65599999999904,optimal
ins-16,16,24.0,300.14100000000326,non-optimal
ins-17,17,25.0,300.2029999999977,non-optimal
ins-18,18,26.0,300.2029999999977,non-optimal
ins-19,19,27.0,300.125,non-optimal
ins-20,20,28.0,300.1570000000029,non-optimal
ins-21,21,29.0,300.15699999999924,non-optimal
ins-22,22,30.0,300.09400000000096,non-optimal
ins-23,23,31.0,300.125,non-optimal
ins-24,24,31.0,156.375,optimal
ins-25,25,34.0,300.125,non-optimal
ins-26,26,34.0,300.1560000000027,non-optimal
ins-27,27,34.0,129.625,optimal
ins-28,28,36.0,300.1399999999994,non-optimal
ins-29,29,37.0,300.15599999999904,non-optimal
ins-30,30,39.0,300.1720000000023,non-optimal
ins-31,31,38.0,59.34400000000096,optimal
ins-32,32,41.0,300.125,non-optimal
ins-33,33,40.0,131.96799999999712,optimal
ins-34,34,41.0,300.1409999999996,non-optimal
ins-35,35,41.0,300.1090000000004,non-optimal
ins-36,36,41.0,300.0939999999973,non-optimal
ins-37,37,62.0,300.1559999999954,non-optimal
ins-38,38,62.0,300.125,non-optimal
ins-39,39,62.0,300.1399999999994,non-optimal
ins-40,40,137.0,300.45299999999406,non-optimal
