,instance,height,time,solution type
ins-1,1,8.0,0.3429999999999999,optimal
ins-2,2,9.0,0.0939999999999998,optimal
ins-3,3,10.0,0.156,optimal
ins-4,4,11.0,0.1879999999999999,optimal
ins-5,5,12.0,0.2179999999999999,optimal
ins-6,6,13.0,0.266,optimal
ins-7,7,14.0,0.2970000000000001,optimal
ins-8,8,15.0,0.469,optimal
ins-9,9,16.0,0.359,optimal
ins-10,10,17.0,0.8280000000000001,optimal
ins-11,11,18.0,10.655999999999976,optimal
ins-12,12,19.0,3.75,optimal
ins-13,13,20.0,4.375,optimal
ins-14,14,21.0,20.156,optimal
ins-15,15,22.0,2.4060000000000006,optimal
ins-16,16,24.0,300.313,non-optimal
ins-17,17,24.0,8.718999999999994,optimal
ins-18,18,25.0,9.375,optimal
ins-19,19,26.0,209.266,optimal
ins-20,20,27.0,118.54700000000048,optimal
ins-21,21,29.0,300.1720000000005,non-optimal
ins-22,22,30.0,300.125,non-optimal
ins-23,23,30.0,25.79700000000048,optimal
ins-24,24,31.0,22.375,optimal
ins-25,25,34.0,300.25,non-optimal
ins-26,26,34.0,300.14100000000053,non-optimal
ins-27,27,34.0,43.14100000000144,optimal
ins-28,28,36.0,300.15700000000106,non-optimal
ins-29,29,37.0,300.125,non-optimal
ins-30,30,39.0,300.1880000000001,non-optimal
ins-31,31,38.0,22.39099999999962,optimal
ins-32,32,42.0,300.17099999999846,non-optimal
ins-33,33,40.0,12.563000000000102,optimal
ins-34,34,41.0,300.15599999999904,non-optimal
ins-35,35,41.0,300.1409999999996,non-optimal
ins-36,36,41.0,300.1100000000006,non-optimal
ins-37,37,63.0,300.1409999999996,non-optimal
ins-38,38,64.0,300.1869999999981,non-optimal
ins-39,39,62.0,300.125,non-optimal
ins-40,40,138.0,300.21900000000096,non-optimal
